date,value
2017-02-01,2.11167
2017-02-02,1.88667
2017-02-03,3.80859
2017-02-06,3.08924
2017-02-07,2.11867
2017-02-08,1.74367
2017-02-09,1.62033
2017-02-10,1.74053
2017-02-13,1.86533
2017-02-14,1.67442
2017-02-15,1.7135
2017-02-16,2.99967
2017-02-17,2.92669
2017-02-20,2.603
2017-02-21,3.78233
2017-02-22,2.76532
2017-02-23,2.8535
2017-02-24,2.07867
2017-02-27,2.01003
2017-02-28,2.0
2017-03-01,2.02688
2017-03-02,2.046
2017-03-03,1.86
2017-03-06,1.72567
2017-03-07,1.76283
2017-03-08,1.7135
2017-03-09,3.4715
2017-03-10,3.16467
2017-03-13,3.0
2017-03-14,3.58867
2017-03-15,3.462
2017-03-16,2.34
2017-03-17,2.01233
2017-03-20,2.02833
2017-03-21,2.38833
2017-03-22,2.31
2017-03-23,2.22629
2017-03-24,2.24383
2017-03-27,2.27533
2017-03-28,2.38483
2017-03-29,2.82788
2017-03-30,2.99086
2017-03-31,4.01669
2017-04-03,4.36417
2017-04-05,3.43167
2017-04-06,2.40633
2017-04-07,2.15867
2017-04-10,2.18526
2017-04-11,1.87033
2017-04-12,1.90483
2017-04-13,1.9415
2017-04-18,2.006
2017-04-19,2.15417
2017-04-20,2.51673
2017-04-21,2.44604
2017-04-24,2.37541
2017-04-25,2.164
2017-04-26,2.17233
2017-04-27,2.43883
2017-04-28,2.76417
2017-05-02,3.39533
2017-05-04,4.32933
2017-05-05,3.541
2017-05-08,3.63967
2017-05-09,3.81317
2017-05-10,2.782
2017-05-11,2.47533
2017-05-12,2.45017
2017-05-15,2.26597
2017-05-16,2.19887
2017-05-17,2.54792
2017-05-18,2.65753
2017-05-19,2.8105
2017-05-22,3.20067
2017-05-23,2.57011
2017-05-24,2.77389
2017-05-25,4.165
2017-05-26,7.7565
2017-05-29,5.35283
2017-05-31,21.07933
2017-06-01,42.815
2017-06-02,8.6755
2017-06-05,3.14688
2017-06-06,2.50368
2017-06-07,2.14917
2017-06-08,1.82633
2017-06-09,1.814
2017-06-12,1.88183
2017-06-13,1.74567
2017-06-14,1.66683
2017-06-15,1.7315
2017-06-16,1.76483
2017-06-19,1.69719
2017-06-20,1.35467
2017-06-21,1.58358
2017-06-22,1.46317
2017-06-23,1.31717
2017-06-26,1.15142
2017-06-27,1.16683
2017-06-28,1.276
2017-06-29,1.45656
2017-06-30,1.18267
2017-07-03,1.57917
2017-07-04,1.314
2017-07-05,1.43702
2017-07-06,1.46833
2017-07-07,2.18517
2017-07-10,2.387
2017-07-11,1.922
2017-07-12,1.90422
2017-07-13,2.007
2017-07-14,2.019
2017-07-17,2.09897
2017-07-18,2.044
2017-07-19,2.22367
2017-07-20,2.666
2017-07-21,2.21267
2017-07-24,2.34549
2017-07-25,2.323
2017-07-26,2.18233
2017-07-27,2.107
2017-07-28,2.4413
2017-07-31,2.21183
2017-08-01,2.25061
2017-08-02,2.2605
2017-08-03,2.1765
2017-08-04,2.0665
2017-08-07,1.852
2017-08-08,1.60084
2017-08-09,1.69552
2017-08-10,1.55338
2017-08-11,1.63767
2017-08-14,1.44767
2017-08-15,1.45555
2017-08-16,1.6525
2017-08-17,2.15622
2017-08-18,2.071
2017-08-21,1.421
2017-08-22,1.2665
2017-08-24,1.61733
2017-08-25,2.3895
2017-08-28,2.05183
2017-08-29,1.71417
2017-08-30,1.96811
2017-08-31,1.85733
2017-09-01,1.59667
2017-09-04,1.5605
2017-09-05,1.809
2017-09-06,1.99584
2017-09-07,1.5575
2017-09-08,1.51033
2017-09-11,2.29433
2017-09-12,2.09567
2017-09-13,3.04983
2017-09-14,2.6865
2017-09-15,2.01067
2017-09-18,2.17229
2017-09-19,2.326
2017-09-20,2.37034
2017-09-21,2.96033
2017-09-22,2.1857
2017-09-25,2.04867
2017-09-26,1.8359
2017-09-27,2.21967
2017-09-28,2.3089
2017-09-29,3.72917
2017-10-03,2.588
2017-10-04,2.5425
2017-10-06,2.303
2017-10-09,2.0095
2017-10-10,2.19783
2017-10-11,2.3
2017-10-12,2.487
2017-10-13,2.72182
2017-10-16,2.73415
2017-10-17,2.80348
2017-10-18,2.5757
2017-10-19,2.3475
2017-10-20,2.53653
2017-10-23,2.71788
2017-10-24,2.50237
2017-10-25,2.53173
2017-10-26,2.66134
2017-10-27,2.57667
2017-10-30,2.46092
2017-10-31,2.5835
2017-11-01,2.52067
2017-11-02,2.60538
2017-11-03,2.73987
2017-11-06,2.82
2017-11-07,2.63026
2017-11-08,2.57616
2017-11-09,2.68098
2017-11-10,2.77896
2017-11-13,2.76893
2017-11-14,2.50717
2017-11-15,2.49136
2017-11-16,2.42283
2017-11-17,2.38033
2017-11-20,2.4925
2017-11-21,2.5755
2017-11-22,5.97968
2017-11-23,2.75967
2017-11-24,2.6235
2017-11-27,2.56767
2017-11-28,2.342
2017-11-29,1.54206
2017-11-30,1.47004
2017-12-01,1.5035
2017-12-04,1.53767
2017-12-05,1.5395
2017-12-06,1.93316
2017-12-07,1.6975
2017-12-08,1.54
2017-12-11,1.56867
2017-12-12,1.633
2017-12-13,1.8015
2017-12-14,1.81717
2017-12-15,2.0715
2017-12-18,1.8635
2017-12-19,1.7855
2017-12-20,1.8615
2017-12-21,2.07883
2017-12-22,2.30583
2017-12-27,1.92067
2017-12-28,1.7025
2017-12-29,1.729
2018-01-02,1.78933
2018-01-03,1.807
2018-01-04,2.05024
2018-01-05,2.39539
2018-01-08,2.32112
2018-01-09,2.71267
2018-01-10,2.88167
2018-01-11,2.4285
2018-01-12,2.6847
2018-01-15,2.83517
2018-01-16,3.08789
2018-01-17,2.83617
2018-01-18,2.83489
2018-01-19,2.78917
2018-01-22,3.05557
2018-01-23,3.23133
2018-01-24,3.1895
2018-01-25,3.072
2018-01-26,3.457
2018-01-29,3.0248
2018-01-30,2.47704
2018-01-31,2.2895
2018-02-01,2.3322
2018-02-02,2.4165
2018-02-05,2.42924
2018-02-06,2.25435
2018-02-07,2.1765
2018-02-08,2.1695
2018-02-09,2.91739
2018-02-12,3.30104
2018-02-13,3.08081
2018-02-14,4.04933
2018-02-15,3.475
2018-02-20,2.4905
